drug_name,drug_name_en,drug_synonyms,targets,mechanism_of_action,research_institution,drug_category_1,drug_category_2,drug_category_3,drug_tag,pharmacological_type,global_highest_phase_indication,global_highest_phase_indication_start_date,global_development_status,disease_area,npuid,originator_country,highest_phase_indication_standard,global_highest_phase_all_indication,global_highest_phase_all_indication_date,global_highest_phase_all_indication_standard,research_institution_count,is_cyclic_peptide,is_rare_disease,is_top20_mnc,top20_mnc_list,originator_company_list,count_originator,research_institution_list,therapeutic_area_list,count_therapeutic_area,therapeutic_area_primary,therapeutic_area_secondary,therapeutic_area_tertiary,global_highest_phase_all_indication_sort_val,highest_phase_standard_sort_val,therapeutic_area_primary_en,therapeutic_area_secondary_en,therapeutic_area_tertiary_en,indications_json
WO2024182044A1,WO2024182044A1,WO2024182044A1,Nrf2,Nrf2激活剂,Mayo Clinic(原研),创新药,化药,多肽,环肽;Keap1-Nrf2通路,激活剂,临床前,,Active,免疫领域,DR069977,美国,pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['Mayo Clinic'],1,['Mayo Clinic(原研)'],['免疫领域'],1,免疫领域,,,-1,-1,Immunology,,,"[{""indication"": ""炎症(未指明)"", ""indication_en"": ""Inflammation (unspecified)"", ""therapeutic_area"": ""免疫领域"", ""therapeutic_area_en"": ""Immunology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2024188291A1,WO2024188291A1,WO2024188291A1,HER2,anti-HER2多肽偶联核素;68Ga标记的PET药物,上海药物研究所(原研);Northeastern University(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;差异化疾病;诊断用放射性药物;受体酪氨酸激酶;中国无申报,多肽偶联核素;68Ga标记的PET药物,临床前,,Active,肿瘤领域;罕见疾病领域,DR070183,美国;中国(内地),pre-clinical,临床前,,pre-clinical,2,TRUE,TRUE,FALSE,[],"['上海药物研究所', 'Northeastern University']",2,"['上海药物研究所(原研)', 'Northeastern University(原研)']",['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""卵巢癌"", ""indication_en"": ""ovarian cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""PET显像"", ""indication_en"": ""PET imaging"", ""therapeutic_area"": ""诊断试剂领域"", ""therapeutic_area_en"": ""Diagnostic Reagents"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2024189611A1,WO2024189611A1,WO2024189611A1,calcitonin,calcitonin类似物,Yissum(原研),创新药,化药,多肽,环肽;中国无申报,类似物,临床前,,Active,骨骼肌肉领域;内分泌及代谢领域,DR070268,以色列,pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['Yissum'],1,['Yissum(原研)'],"['骨骼肌肉领域', '内分泌及代谢领域']",2,骨骼肌肉领域,内分泌及代谢领域,,-1,-1,Musculoskeletal,Endocrinology & Metabolism,,"[{""indication"": ""骨质疏松症"", ""indication_en"": ""osteoporosis"", ""therapeutic_area"": ""骨骼肌肉领域"", ""therapeutic_area_en"": ""Musculoskeletal"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2024195709A1,WO2024195709A1,WO2024195709A1,FGFR,FGFR抑制剂,Fujifilm(原研),创新药,化药,多肽,环肽;受体酪氨酸激酶,抑制剂,临床前,,Active,肿瘤领域,DR070420,日本,pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['Fujifilm'],1,['Fujifilm(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""癌症"", ""indication_en"": ""cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2024199103A1,WO2024199103A1,WO2024199103A1,calcitonin,calcitonin类似物,奥达生物(原研),创新药,化药,多肽,环肽,类似物,临床前,,Active,骨骼肌肉领域;内分泌及代谢领域,DR070368,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['奥达生物'],1,['奥达生物(原研)'],"['骨骼肌肉领域', '内分泌及代谢领域']",2,骨骼肌肉领域,内分泌及代谢领域,,-1,-1,Musculoskeletal,Endocrinology & Metabolism,,"[{""indication"": ""骨质疏松症"", ""indication_en"": ""osteoporosis"", ""therapeutic_area"": ""骨骼肌肉领域"", ""therapeutic_area_en"": ""Musculoskeletal"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""骨病"", ""indication_en"": ""bone disease"", ""therapeutic_area"": ""骨骼肌肉领域"", ""therapeutic_area_en"": ""Musculoskeletal"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2024227437A1,WO2024227437A1,WO2024227437A1,IL-23R,IL-23R抑制剂,海思科(原研),创新药,化药,多肽,环肽;Th17通路,抑制剂,临床前,,Active,免疫领域;皮肤领域,DR071166,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['海思科'],1,['海思科(原研)'],"['免疫领域', '皮肤领域']",2,免疫领域,皮肤领域,,-1,-1,Immunology,Dermatology,,"[{""indication"": ""银屑病"", ""indication_en"": ""psoriasis"", ""therapeutic_area"": ""免疫领域"", ""therapeutic_area_en"": ""Immunology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""炎症性肠病"", ""indication_en"": ""inflammatory bowel disease"", ""therapeutic_area"": ""免疫领域"", ""therapeutic_area_en"": ""Immunology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""克罗恩病"", ""indication_en"": ""Crohn's disease"", ""therapeutic_area"": ""消化领域"", ""therapeutic_area_en"": ""Digestive System"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2024230246A1,WO2024230246A1,WO2024230246A1,FAP,anti-FAP多肽偶联核素,纽瑞特医疗(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;Potential First-in-Class,多肽偶联核素,临床前,,Active,肿瘤领域,DR071565,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['纽瑞特医疗'],1,['纽瑞特医疗(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""肿瘤"", ""indication_en"": ""tumor"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2024235273A1,WO2024235273A1,WO2024235273A1,CXCR4;FAP,anti-CXCR4×FAP多肽偶联核素,远大医药(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;G蛋白偶联受体;Potential First-in-Class,多肽偶联核素,临床前,,Active,肿瘤领域,DR071750,中国(港澳台),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['远大医药'],1,['远大医药(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""癌症"", ""indication_en"": ""cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2024238623A1,WO2024238623A1,WO2024238623A1,LRRK2,LRRK2变构抑制剂,University of Georgia(原研),创新药,化药,多肽,环肽;差异化疾病,变构抑制剂,临床前,,Active,神经领域,DR071723,美国,pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['University of Georgia'],1,['University of Georgia(原研)'],['神经领域'],1,神经领域,,,-1,-1,Neurology,,,"[{""indication"": ""阿尔茨海默病"", ""indication_en"": ""Alzheimer's disease"", ""therapeutic_area"": ""神经领域"", ""therapeutic_area_en"": ""Neurology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""帕金森病"", ""indication_en"": ""Parkinson's disease"", ""therapeutic_area"": ""神经领域"", ""therapeutic_area_en"": ""Neurology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""亨廷顿氏病"", ""indication_en"": ""Huntington's disease"", ""therapeutic_area"": ""神经领域"", ""therapeutic_area_en"": ""Neurology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""肌萎缩侧索硬化症"", ""indication_en"": ""amyotrophic lateral sclerosis"", ""therapeutic_area"": ""神经领域"", ""therapeutic_area_en"": ""Neurology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""神经系统疾病"", ""indication_en"": ""neurological disease"", ""therapeutic_area"": ""神经领域"", ""therapeutic_area_en"": ""Neurology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2024243509A1,WO2024243509A1,WO2024243509A1,LRRK2;FADD,LRRK2×FADD蛋白蛋白相互作用抑制剂,UGARF(原研),创新药,化药,多肽,环肽;Potential First-in-Class,蛋白蛋白相互作用抑制剂,临床前,,Active,神经领域,DR071797,,pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['UGARF'],1,['UGARF(原研)'],['神经领域'],1,神经领域,,,-1,-1,Neurology,,,"[{""indication"": ""神经退行性疾病"", ""indication_en"": ""neurodegenerative diseases"", ""therapeutic_area"": ""神经领域"", ""therapeutic_area_en"": ""Neurology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""阿尔茨海默病"", ""indication_en"": ""Alzheimer's disease"", ""therapeutic_area"": ""神经领域"", ""therapeutic_area_en"": ""Neurology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""帕金森病"", ""indication_en"": ""Parkinson's disease"", ""therapeutic_area"": ""神经领域"", ""therapeutic_area_en"": ""Neurology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""亨廷顿氏病"", ""indication_en"": ""Huntington's disease"", ""therapeutic_area"": ""神经领域"", ""therapeutic_area_en"": ""Neurology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""肌萎缩侧索硬化症"", ""indication_en"": ""amyotrophic lateral sclerosis"", ""therapeutic_area"": ""神经领域"", ""therapeutic_area_en"": ""Neurology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2024248042A1,WO2024248042A1,WO2024248042A1,MuSK,MuSK激动剂,National Hospital Organization(原研),创新药,化药,多肽,环肽;受体酪氨酸激酶;Potential First-in-Class;Wnt信号通路,激动剂,临床前,,Active,罕见疾病领域;免疫领域,DR071830,日本,pre-clinical,临床前,,pre-clinical,1,TRUE,TRUE,FALSE,[],['National Hospital Organization'],1,['National Hospital Organization(原研)'],['免疫领域'],1,免疫领域,,,-1,-1,Immunology,,,"[{""indication"": ""重症肌无力"", ""indication_en"": ""myasthenia gravis"", ""therapeutic_area"": ""免疫领域"", ""therapeutic_area_en"": ""Immunology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2024259132A1,WO2024259132A1,WO2024259132A1,DLL3,anti-DLL3多肽偶联核素,Mariana Oncology(Novartis)(Top20 MNC)(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;Notch信号通路;Potential First-in-Class,多肽偶联核素,临床前,,Active,肿瘤领域,DR072524,美国,pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,TRUE,['Mariana Oncology(Novartis)'],['Mariana Oncology(Novartis)'],1,['Mariana Oncology(Novartis)(Top20 MNC)(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""癌症"", ""indication_en"": ""cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2025007839A1,WO2025007839A1,WO2025007839A1,nectin-4,多肽偶联药物,韦恩生物(原研),创新药,化药,多肽;偶联药物,环肽,多肽偶联药物,临床前,,Active,肿瘤领域,DR073180,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['韦恩生物'],1,['韦恩生物(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""肿瘤"", ""indication_en"": ""tumor"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2025011611A1,WO2025011611A1,WO2025011611A1,FAP,anti-FAP多肽偶联核素,恒瑞医药(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;Potential First-in-Class,多肽偶联核素,临床前,,Active,肿瘤领域,DR073838,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['恒瑞医药'],1,['恒瑞医药(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""癌症"", ""indication_en"": ""cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2025067477A1,WO2025067477A1,WO2025067477A1,A. baumannii,抗生素,人福医药(原研),创新药,化药,多肽,环肽;差异化疾病;Potential First-in-Class,抗生素,临床前,,Active,感染领域,DR077776,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['人福医药'],1,['人福医药(原研)'],['感染领域'],1,感染领域,,,-1,-1,Infectious Diseases,,,"[{""indication"": ""鲍曼不动杆菌感染"", ""indication_en"": ""Acinetobacter baumannii infection"", ""therapeutic_area"": ""感染领域"", ""therapeutic_area_en"": ""Infectious Diseases"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2025068348A1,WO2025068348A1,WO2025068348A1,PD1;CXCR4,CXCR4抑制剂;PD1抑制剂,University of Michigan(原研);Johns Hopkins University(原研);Cedars-Sinai(原研);Spexis(原研),创新药,化药,多肽,环肽;G蛋白偶联受体;中国无申报;Potential First-in-Class;肿瘤免疫,抑制剂,临床前,,Active,肿瘤领域,DR077780,美国;欧洲,pre-clinical,临床前,,pre-clinical,4,TRUE,FALSE,FALSE,[],"['University of Michigan', 'Johns Hopkins University', 'Cedars-Sinai', 'Spexis']",4,"['University of Michigan(原研)', 'Johns Hopkins University(原研)', 'Cedars-Sinai(原研)', 'Spexis(原研)']",['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""癌症"", ""indication_en"": ""cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2025073871A1,WO2025073871A1,WO2025073871A1,TfR1,多肽偶联药物,Bicycle Therapeutics(原研),创新药,化药,多肽;偶联药物,环肽;铁代谢;Potential First-in-Class,多肽偶联药物,临床前,,Active,肿瘤领域,DR078215,欧洲,pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['Bicycle Therapeutics'],1,['Bicycle Therapeutics(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""癌症"", ""indication_en"": ""cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""癫痫"", ""indication_en"": ""epilepsy"", ""therapeutic_area"": ""神经领域"", ""therapeutic_area_en"": ""Neurology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""眼科疾病"", ""indication_en"": ""Eye diseases"", ""therapeutic_area"": ""眼科领域"", ""therapeutic_area_en"": ""Ophthalmology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""神经系统疾病"", ""indication_en"": ""neurological disease"", ""therapeutic_area"": ""神经领域"", ""therapeutic_area_en"": ""Neurology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2025077823A1,WO2025077823A1,WO2025077823A1,αvβ3,多肽偶联药物,海思科(原研),创新药,化药,多肽;偶联药物,环肽;Potential First-in-Class,多肽偶联药物,临床前,,Active,肿瘤领域,DR078571,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['海思科'],1,['海思科(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""癌症"", ""indication_en"": ""cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2025079064A1,WO2025079064A1,WO2025079064A1,IL-17;IL-17R,IL-17×IL-17R蛋白蛋白相互作用抑制剂,Pepticom(原研),创新药,化药,小分子,环肽;Th17通路;中国无申报;Potential First-in-Class,蛋白蛋白相互作用抑制剂,临床前,,Active,免疫领域;骨骼肌肉领域,DR078579,以色列,pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['Pepticom'],1,['Pepticom(原研)'],"['免疫领域', '骨骼肌肉领域']",2,免疫领域,骨骼肌肉领域,,-1,-1,Immunology,Musculoskeletal,,"[{""indication"": ""类风湿性关节炎"", ""indication_en"": ""rheumatoid arthritis"", ""therapeutic_area"": ""免疫领域"", ""therapeutic_area_en"": ""Immunology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""多发性硬化症"", ""indication_en"": ""multiple sclerosis"", ""therapeutic_area"": ""神经领域"", ""therapeutic_area_en"": ""Neurology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""银屑病"", ""indication_en"": ""psoriasis"", ""therapeutic_area"": ""免疫领域"", ""therapeutic_area_en"": ""Immunology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""斑块状银屑病"", ""indication_en"": ""plaque psoriasis"", ""therapeutic_area"": ""免疫领域"", ""therapeutic_area_en"": ""Immunology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""系统性红斑狼疮"", ""indication_en"": ""systemic lupus erythematosus"", ""therapeutic_area"": ""免疫领域"", ""therapeutic_area_en"": ""Immunology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2025082283A1,WO2025082283A1,WO2025082283A1,FAP,FAP抑制剂,科伦博泰(原研),创新药,化药,多肽,环肽;差异化疾病,抑制剂,临床前,,Active,肿瘤领域,DR078895,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['科伦博泰'],1,['科伦博泰(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""肿瘤"", ""indication_en"": ""tumor"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""诊断试剂"", ""indication_en"": ""diagnostic reagents"", ""therapeutic_area"": ""诊断试剂领域"", ""therapeutic_area_en"": ""Diagnostic Reagents"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2025105948A1,WO2025105948A1,WO2025105948A1,PDL1,含锝放射性示踪剂;anti-PDL1多肽偶联核素,Instituto Nacional de Investigaciones Nucleares(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;中国无申报;Potential First-in-Class;肿瘤免疫,含锝放射性示踪剂;多肽偶联核素,临床前,,Active,肿瘤领域,DR080180,墨西哥,pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['Instituto Nacional de Investigaciones Nucleares'],1,['Instituto Nacional de Investigaciones Nucleares(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""肿瘤"", ""indication_en"": ""tumor"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""SPECT显像"", ""indication_en"": ""SPECT imaging"", ""therapeutic_area"": ""诊断试剂领域"", ""therapeutic_area_en"": ""Diagnostic Reagents"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2025106567A1,WO2025106567A1,WO2025106567A1,BNP,BNP类似物,Antlia Bioscience(原研),创新药,化药,多肽,环肽;Potential First-in-Class,类似物,临床前,,Active,心脑血管领域,DR080184,美国,pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['Antlia Bioscience'],1,['Antlia Bioscience(原研)'],['心脑血管领域'],1,心脑血管领域,,,-1,-1,Cardiovascular & Cerebrovascular,,,"[{""indication"": ""心力衰竭"", ""indication_en"": ""heart failure"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""代谢疾病"", ""indication_en"": ""Metabolic diseases"", ""therapeutic_area"": ""内分泌及代谢领域"", ""therapeutic_area_en"": ""Endocrinology & Metabolism"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""肺病"", ""indication_en"": ""pulmonary disease"", ""therapeutic_area"": ""呼吸领域"", ""therapeutic_area_en"": ""Respiratory"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2025112214A1,WO2025112214A1,WO2025112214A1,αvβ3,多肽偶联药物,碳云智能(原研),创新药,化药,多肽;偶联药物,环肽;Potential First-in-Class,多肽偶联药物,临床前,,Active,肿瘤领域,DR080677,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['碳云智能'],1,['碳云智能(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""癌症"", ""indication_en"": ""cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2025113628A1,WO2025113628A1,WO2025113628A1,SSTR2,177Lu标记的放射性药物;anti-SSTR2多肽偶联核素,辐联科技(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;差异化疾病,多肽偶联核素;177Lu标记的放射性药物,临床前,,Active,肿瘤领域,DR080759,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['辐联科技'],1,['辐联科技(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""癌症"", ""indication_en"": ""cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""PET显像"", ""indication_en"": ""PET imaging"", ""therapeutic_area"": ""诊断试剂领域"", ""therapeutic_area_en"": ""Diagnostic Reagents"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2025117586A1,WO2025117586A1,WO2025117586A1,DLL3,anti-DLL3多肽偶联核素;177Lu标记的放射性药物,Mariana Oncology(Novartis)(Top20 MNC)(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;Notch信号通路;Potential First-in-Class,多肽偶联核素;177Lu标记的放射性药物,临床前,,Active,肿瘤领域,DR080706,美国,pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,TRUE,['Mariana Oncology(Novartis)'],['Mariana Oncology(Novartis)'],1,['Mariana Oncology(Novartis)(Top20 MNC)(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""癌症"", ""indication_en"": ""cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2025121943A1,WO2025121943A1,WO2025121943A1,CD51,多肽偶联药物,Soonchunhyang University(原研),创新药,化药,多肽;偶联药物,环肽;差异化疾病;中国无申报;Potential First-in-Class,多肽偶联药物,临床前,,Active,肿瘤领域,DR081040,韩国,pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['Soonchunhyang University'],1,['Soonchunhyang University(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""结肠癌"", ""indication_en"": ""colon cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2025122525A1,WO2025122525A1,WO2025122525A1,IgG,IgG降解剂,Biohaven Pharmaceuticals(Pfizer)(Top20 MNC)(原研),创新药,化药,多肽;降解类药物,环肽;差异化疾病,降解剂,临床前,,Active,心脑血管领域,DR081010,美国,pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,TRUE,['Biohaven Pharmaceuticals(Pfizer)'],['Biohaven Pharmaceuticals(Pfizer)'],1,['Biohaven Pharmaceuticals(Pfizer)(Top20 MNC)(原研)'],['心脑血管领域'],1,心脑血管领域,,,-1,-1,Cardiovascular & Cerebrovascular,,,"[{""indication"": ""心力衰竭"", ""indication_en"": ""heart failure"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""扩张型心肌病"", ""indication_en"": ""dilated cardiomyopathy"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2025137441A,WO2025137441A,WO2025137441A,SSTR2,64Cu标记的放射性示踪剂;anti-SSTR2多肽偶联核素,RayzeBio(Bristol-Myers Squibb)(Top20 MNC)(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽,多肽偶联核素;64Cu标记的放射性示踪剂,临床前,,Active,肿瘤领域,DR081688,美国,pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,TRUE,['RayzeBio(Bristol-Myers Squibb)'],['RayzeBio(Bristol-Myers Squibb)'],1,['RayzeBio(Bristol-Myers Squibb)(Top20 MNC)(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""肿瘤"", ""indication_en"": ""tumor"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
WO2025137441A1,WO2025137441A1,WO2025137441A1,SSTR2,anti-SSTR2多肽偶联核素;68Ga标记的PET药物,RayzeBio(Bristol-Myers Squibb)(Top20 MNC)(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;诊断用放射性药物,多肽偶联核素;68Ga标记的PET药物,临床前,,Active,肿瘤领域,DR081687,美国,pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,TRUE,['RayzeBio(Bristol-Myers Squibb)'],['RayzeBio(Bristol-Myers Squibb)'],1,['RayzeBio(Bristol-Myers Squibb)(Top20 MNC)(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""肿瘤"", ""indication_en"": ""tumor"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
