drug_name,targets,mechanism_of_action,research_institution,indication_original,global_highest_phase_indication,global_highest_phase_indication_start_date,global_development_status,drug_category_3,drug_category_2,drug_tag,pharmacological_type,drug_category_1,drug_synonyms,carrier_type,disease_area,formulation_china,npuid,additional_data,originator_country,originator_rightsregion,china_highest_phase,usa_highest_phase,china_highest_phase_start_date,usa_highest_phase_start_date,highest_phase_indication_standard,global_highest_phase_all_indication,global_highest_phase_all_indication_date,global_highest_phase_all_indication_standard,research_institution_count,is_cyclic_peptide,is_rare_disease,is_top20_mnc,top20_mnc_list,originator_company_list,count_originator,research_institution_list,therapeutic_area_norm,indication,therapeutic_area_list,count_therapeutic_area,therapeutic_area_primary,therapeutic_area_secondary,therapeutic_area_tertiary,global_highest_phase_all_indication_sort_val,highest_phase_standard_sort_val,therapeutic_area_norm_en,therapeutic_area_primary_en,therapeutic_area_secondary_en,therapeutic_area_tertiary_en,indication_en,drug_name_en,drug_synonyms_en
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),非增殖性糖尿病视网膜病变(差异化疾病),III期临床,2005-08-16,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,眼科领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,III期临床,,2005-08-16,phase 3,批准上市,1988-10-21,approved,1,True,False,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],眼科领域,非增殖性糖尿病视网膜病变,['眼科领域'],1,眼科领域,,,5,3,Ophthalmology,Ophthalmology,,,non-proliferative diabetic retinopathy,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),增殖性糖尿病视网膜病变(差异化疾病),III期临床,2005-08-16,Active,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,眼科领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,III期临床,,2005-08-16,phase 3,批准上市,1988-10-21,approved,1,True,False,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],眼科领域,增殖性糖尿病视网膜病变,['眼科领域'],1,眼科领域,,,5,3,Ophthalmology,Ophthalmology,,,proliferative diabetic retinopathy,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),肝肾综合征(差异化疾病),II/III期临床,2005-10-17,Unknown,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,泌尿生殖领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,,,,phase 3,批准上市,1988-10-21,approved,1,True,False,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],泌尿生殖领域,肝肾综合征,['泌尿生殖领域'],1,泌尿生殖领域,,,5,3,Genitourinary,Genitourinary,,,Hepatorenal syndrome,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),多囊肾病,II/III期临床,2014-04-21,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,泌尿生殖领域;罕见疾病领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,,,,phase 3,批准上市,1988-10-21,approved,1,True,True,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],泌尿生殖领域,多囊肾病,['泌尿生殖领域'],1,泌尿生殖领域,,,5,3,Genitourinary,Genitourinary,,,polycystic kidney disease,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),多囊肝病,II/III期临床,2007-01-24,Active,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,消化领域;罕见疾病领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,II/III期临床,,2007-01-24,phase 3,批准上市,1988-10-21,approved,1,True,True,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],消化领域,多囊肝病,['消化领域'],1,消化领域,,,5,3,Digestive System,Digestive System,,,polycystic liver disease,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),肿瘤,II期临床,2023-09-21,Active,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,肿瘤领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,I期临床,,2021-05-24,,phase 2,批准上市,1988-10-21,approved,1,True,False,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],肿瘤领域,肿瘤,['肿瘤领域'],1,肿瘤领域,,,5,2,Oncology,Oncology,,,tumor,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),肺癌,II期临床,2009-10-07,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,肿瘤领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,,,,phase 2,批准上市,1988-10-21,approved,1,True,False,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],肿瘤领域,肺癌,['肿瘤领域'],1,肿瘤领域,,,5,2,Oncology,Oncology,,,lung cancer,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),前列腺癌,II期临床,2005-09-14,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,肿瘤领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,,,,phase 2,批准上市,1988-10-21,approved,1,True,False,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],肿瘤领域,前列腺癌,['肿瘤领域'],1,肿瘤领域,,,5,2,Oncology,Oncology,,,prostate cancer,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),肥胖,II期临床,2004-10-15,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,内分泌及代谢领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,II期临床,,2004-10-15,phase 2,批准上市,1988-10-21,approved,1,True,False,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],内分泌及代谢领域,肥胖,['内分泌及代谢领域'],1,内分泌及代谢领域,,,5,2,Endocrinology & Metabolism,Endocrinology & Metabolism,,,obesity,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),急性呼吸窘迫综合征(差异化疾病),II期临床,2021-05-27,Unknown,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,呼吸领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,II期临床,,2021-05-27,phase 2,批准上市,1988-10-21,approved,1,True,False,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],呼吸领域,急性呼吸窘迫综合征,['呼吸领域'],1,呼吸领域,,,5,2,Respiratory,Respiratory,,,acute respiratory distress syndrome,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),肠梗阻,II期临床,2003-05-09,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,消化领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,II期临床,,2003-05-09,phase 2,批准上市,1988-10-21,approved,1,True,False,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],消化领域,肠梗阻,['消化领域'],1,消化领域,,,5,2,Digestive System,Digestive System,,,intestinal obstruction,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),腹水,II期临床,2000-06-12,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,泌尿生殖领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,II期临床,,2000-06-12,phase 2,批准上市,1988-10-21,approved,1,True,False,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],泌尿生殖领域,腹水,['泌尿生殖领域'],1,泌尿生殖领域,,,5,2,Genitourinary,Genitourinary,,,ascites,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),癌症骨转移(差异化疾病),II期临床,2007-08-01,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,肿瘤领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,II期临床,,2007-08-01,phase 2,批准上市,1988-10-21,approved,1,True,False,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],肿瘤领域,癌症骨转移,['肿瘤领域'],1,肿瘤领域,,,5,2,Oncology,Oncology,,,cancer bone metastasis,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),去势抵抗前列腺癌,II期临床,2007-08-01,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,肿瘤领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,II期临床,,2007-08-01,phase 2,批准上市,1988-10-21,approved,1,True,False,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],肿瘤领域,去势抵抗前列腺癌,['肿瘤领域'],1,肿瘤领域,,,5,2,Oncology,Oncology,,,Castration-resistant prostate cancer,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),淋巴管肌瘤(差异化疾病),II期临床,2000-06-12,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,罕见疾病领域;肿瘤领域;呼吸领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,II期临床,,2000-06-12,phase 2,批准上市,1988-10-21,approved,1,True,True,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],肿瘤领域,淋巴管肌瘤,"['肿瘤领域', '呼吸领域']",2,肿瘤领域,呼吸领域,,5,2,Oncology,Oncology,Respiratory,,lymphangioleiomyoma,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),肾衰竭(差异化疾病),II期临床,2012-04-30,Unknown,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,泌尿生殖领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,,,,phase 2,批准上市,1988-10-21,approved,1,True,False,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],泌尿生殖领域,肾衰竭,['泌尿生殖领域'],1,泌尿生殖领域,,,5,2,Genitourinary,Genitourinary,,,kidney failure,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),垂体瘤,II期临床,1999-11-04,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,肿瘤领域;罕见疾病领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,II期临床,,1999-11-04,phase 2,批准上市,1988-10-21,approved,1,True,True,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],肿瘤领域,垂体瘤,['肿瘤领域'],1,肿瘤领域,,,5,2,Oncology,Oncology,,,Pituitary tumor,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),胰腺神经内分泌肿瘤,II期临床,2005-06-08,Active,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,肿瘤领域;罕见疾病领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,II期临床,,2005-06-08,phase 2,批准上市,1988-10-21,approved,1,True,True,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],肿瘤领域,胰腺神经内分泌肿瘤,['肿瘤领域'],1,肿瘤领域,,,5,2,Oncology,Oncology,,,pancreatic neuroendocrine tumors,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),胃肠道神经内分泌肿瘤,II期临床,2005-09-28,Active,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,肿瘤领域;罕见疾病领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,II期临床,,2011-11-29,,phase 2,批准上市,1988-10-21,approved,1,True,True,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],肿瘤领域,胃肠道神经内分泌肿瘤,['肿瘤领域'],1,肿瘤领域,,,5,2,Oncology,Oncology,,,gastrointestinal neuroendocrine tumors,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),消化道癌症,II期临床,2012-03-30,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,肿瘤领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,I期临床,,2018-03-07,,phase 2,批准上市,1988-10-21,approved,1,True,False,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],肿瘤领域,消化道癌症,['肿瘤领域'],1,肿瘤领域,,,5,2,Oncology,Oncology,,,digestive tract cancer,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),淋巴水肿(差异化疾病),II期临床,2000-06-12,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,免疫领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,II期临床,,2000-06-12,phase 2,批准上市,1988-10-21,approved,1,True,False,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],免疫领域,淋巴水肿,['免疫领域'],1,免疫领域,,,5,2,Immunology,Immunology,,,Lymphedema,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),终末期肾病(差异化疾病),II期临床,2018-05-30,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,泌尿生殖领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,,,,phase 2,批准上市,1988-10-21,approved,1,True,False,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],泌尿生殖领域,终末期肾病,['泌尿生殖领域'],1,泌尿生殖领域,,,5,2,Genitourinary,Genitourinary,,,end stage renal disease,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),脑膜瘤,II期临床,2015-01-07,Active,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,肿瘤领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,,,,phase 2,批准上市,1988-10-21,approved,1,True,False,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],肿瘤领域,脑膜瘤,['肿瘤领域'],1,肿瘤领域,,,5,2,Oncology,Oncology,,,Meningioma,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),惰性非霍奇金淋巴瘤(差异化疾病),II期临床,2004-07-29,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,血液领域;肿瘤领域;罕见疾病领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,II期临床,,2004-07-29,phase 2,批准上市,1988-10-21,approved,1,True,True,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],肿瘤领域,惰性非霍奇金淋巴瘤,"['血液领域', '肿瘤领域']",2,血液领域,肿瘤领域,,5,2,Oncology,Hematology,Oncology,,indolent non-Hodgkin lymphoma,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),直肠癌(差异化疾病),II期临床,2006-01-31,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,肿瘤领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,,,,phase 2,批准上市,1988-10-21,approved,1,True,False,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],肿瘤领域,直肠癌,['肿瘤领域'],1,肿瘤领域,,,5,2,Oncology,Oncology,,,rectal cancer,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),消化道瘘,II期临床,2015-05-08,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,消化领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,,,,phase 2,批准上市,1988-10-21,approved,1,True,False,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],消化领域,消化道瘘,['消化领域'],1,消化领域,,,5,2,Digestive System,Digestive System,,,gastrointestinal fistula,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),肝病,II期临床,2005-11-22,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,消化领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,II期临床,,2005-11-22,phase 2,批准上市,1988-10-21,approved,1,True,False,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],消化领域,肝病,['消化领域'],1,消化领域,,,5,2,Digestive System,Digestive System,,,Liver disease,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),十二指肠疾病,II期临床,2023-09-21,Active,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,消化领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,,,,phase 2,批准上市,1988-10-21,approved,1,True,False,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],消化领域,十二指肠疾病,['消化领域'],1,消化领域,,,5,2,Digestive System,Digestive System,,,duodenal disease,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),胸腺癌(差异化疾病),II期临床,2004-04-14,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,肿瘤领域;罕见疾病领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,II期临床,,2004-04-14,phase 2,批准上市,1988-10-21,approved,1,True,True,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],肿瘤领域,胸腺癌,['肿瘤领域'],1,肿瘤领域,,,5,2,Oncology,Oncology,,,thymic cancer,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),胸腺瘤,II期临床,2004-04-14,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,肿瘤领域;罕见疾病领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,II期临床,,2004-04-14,phase 2,批准上市,1988-10-21,approved,1,True,True,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],肿瘤领域,胸腺瘤,['肿瘤领域'],1,肿瘤领域,,,5,2,Oncology,Oncology,,,thymoma,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
奥曲肽,somatostatin,somatostatin类似物,Novartis(Top20 MNC)(原研),遗传性出血性毛细血管扩张症(差异化疾病),II期临床,1999-10-19,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁,,心脑血管领域,批准上市:注射剂;注射剂(微球),DR066054,否,欧洲,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,,,,phase 2,批准上市,1988-10-21,approved,1,True,False,True,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],心脑血管领域,遗传性出血性毛细血管扩张症,['心脑血管领域'],1,心脑血管领域,,,5,2,Cardiovascular & Cerebrovascular,Cardiovascular & Cerebrovascular,,,hereditary hemorrhagic telangiectasia,octreotide,奥曲肽;octreotide;Sandostatin LAR;Sandostatin;octeotride;SMS995;SMS 201-995;善龙;善宁
